PW	교번 / ID	이름	주민등록번호	학과	
0000000	P100	전교영	100000-0000000	전산학과	
0000001	P101	전교일	100000-0000001	전산학과	
0000002	P102	전교이	100000-0000002	전산학과	
0000003	P103	전교삼	100000-0000003	전산학과	
1000000	P200	자교영	100000-1000000	전자공학과	
1000001	P201	자교일	100000-1000001	전자공학과	
1000002	P202	자교이	100000-1000002	전자공학과	
1000003	P203	자교삼	100000-1000003	전자공학과	
2000000	P300	화교영	100000-2000000	화학공학과	
2000001	P301	화교일	100000-2000001	화학공학과	
2000002	P302	화교이	100000-2000002	화학공학과	
2000003	P303	화교삼	100000-2000003	화학공학과	
3000000	P400	기교영	100000-3000000	기계공학과	
3000001	P401	기교일	100000-3000001	기계공학과	
3000002	P402	기교이	100000-3000002	기계공학과	
3000003	P403	기교삼	100000-3000003	기계공학과	
4000000	P500	항교영	100000-4000000	항공우주공학과	
4000001	P501	항교일	100000-4000001	항공우주공학과	
4000002	P502	항교이	100000-4000002	항공우주공학과	
4000003	P503	항교삼	100000-4000003	항공우주공학과	
****
