PW	교번 / ID	이름	주민등록번호	학과	
0000000	S100	전산영	000000-0000000	전산학과	
0000001	S101	전산일	000000-0000001	전산학과	
0000002	S102	전산이	000000-0000002	전산학과	
0000003	S103	전산삼	000000-0000003	전산학과	
0000004	S104	전산사	000000-0000004	전산학과	
0000005	S105	전산오	000000-0000005	전산학과	
1000000	S200	전자영	000000-1000000	전자공학과	
1000001	S201	전자일	000000-1000001	전자공학과	
1000002	S202	전자이	000000-1000002	전자공학과	
1000003	S203	전자삼	000000-1000003	전자공학과	
1000004	S204	전자사	000000-1000004	전자공학과	
1000005	S205	전자오	000000-1000005	전자공학과	
2000000	S300	화학영	000000-2000000	화학공학과	
2000001	S301	화학일	000000-2000001	화학공학과	
2000002	S302	화학이	000000-2000002	화학공학과	
2000003	S303	화학삼	000000-2000003	화학공학과	
2000004	S304	화학사	000000-2000004	화학공학과	
2000005	S305	화학오	000000-2000005	화학공학과	
3000000	S400	기계영	000000-3000000	기계공학과	
3000001	S401	기계일	000000-3000001	기계공학과	
3000002	S402	기계이	000000-3000002	기계공학과	
3000003	S403	기계삼	000000-3000003	기계공학과	
3000004	S404	기계사	000000-3000004	기계공학과	
3000005	S405	기계오	000000-3000005	기계공학과	
4000000	S500	항공영	000000-4000000	항공우주공학과	
4000001	S501	항공일	000000-4000001	항공우주공학과	
4000002	S502	항공이	000000-4000002	항공우주공학과	
4000003	S503	항공삼	000000-4000003	항공우주공학과	
4000004	S504	항공사	000000-4000004	항공우주공학과	
4000005	S505	항공오	000000-4000005	항공우주공학과	
****
